#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.173 erf 1.300475549550875 0.48363863621084674 0.0736154237132531
0.174 erf 1.2997990790997969 0.48354810187809155 0.07402240714269229
0.175 erf 1.299122702121109 0.48345761305530355 0.07442918000535555
0.176 erf 1.2984464185840283 0.4833671697240768 0.07483574236015798
0.177 erf 1.2977702284577652 0.48327677186600687 0.07524209426609853
0.178 erf 1.297094131711524 0.4831864194626907 0.07564823578225953
0.179 erf 1.2964181283145022 0.48309611249572676 0.07605416696780698
0.18 erf 1.295742218235891 0.48300585094671483 0.07645988788199001
0.181 erf 1.2950664014448752 0.48291563479725597 0.07686539858414103
0.182 erf 1.2943906779106338 0.4828254640289529 0.0772706991336753
0.183 erf 1.2937150476023394 0.4827353386234094 0.07767578959009112
0.184 erf 1.2930395104891577 0.4826452585622309 0.0780806700129693
0.185 erf 1.292364066536131 0.48255542294115805 0.07848444552977701
0.186 erf 1.2916887157246943 0.4824652380839844 0.07888978443647415
0.187 erf 1.2910134580077581 0.4823754889125168 0.07929315885213806
0.188 erf 1.2903382933664878 0.48228559379765074 0.07969718288603166
0.189 erf 1.2896632217661546 0.48219573998648996 0.08010101493274488
0.19 erf 1.2889882431758035 0.482105931328139 0.08050463767017144
0.191 erf 1.2883133575645562 0.4820161678839978 0.08090805079988175
0.192 erf 1.2876385649015296 0.4819264496373266 0.08131125437472345
0.193 erf 1.286963865155835 0.4818367765697764 0.08171424845486266
0.194 erf 1.2862892582965775 0.48174714866296664 0.0821170331006957
0.195 erf 1.2856147442928565 0.4816575658985171 0.08251960837270306
0.196 erf 1.2849403231137653 0.48156802825804895 0.08292197433144621
0.197 erf 1.2842659947283914 0.4814785357231846 0.08332413103756744
0.198 erf 1.2835917591058161 0.4813890882755477 0.08372607855178964
0.199 erf 1.2829176162151152 0.4812996858967632 0.08412781693491624
0.2 erf 1.2822435660253588 0.48121032856845725 0.08452934624783097
0.201 erf 1.2815696085056107 0.4811210162722574 0.08493066655149772
0.202 erf 1.2808957436249293 0.48103174898979206 0.08533177790696056
0.203 erf 1.280221971352367 0.48094252670269133 0.08573268037534326
0.204 erf 1.2795482916569711 0.48085334939258634 0.08613337401784946
0.205 erf 1.2788747045077822 0.4807642170411093 0.08653385889576246
0.206 erf 1.278201209873836 0.48067512962989384 0.08693413507044485
0.207 erf 1.2775278077241623 0.4805860871405746 0.08733420260333866
0.208 erf 1.2768544980277854 0.4804970895547877 0.08773406155596494
0.209 erf 1.2761812807537238 0.48040813685417016 0.08813371198992391
0.21 erf 1.2755081558709904 0.48031922902036034 0.08853315396689446
0.211 erf 1.274835123348593 0.48023036603499775 0.08893238754863435
0.212 erf 1.2741621831555334 0.48014154787972313 0.08933141279697977
0.213 erf 1.2734893352608083 0.4800527745361782 0.08973022977384543
0.214 erf 1.2728165796334083 0.479964045986006 0.09012883854122423
0.215 erf 1.2721439162423196 0.4798753622108508 0.09052723916118716
0.216 erf 1.271471345056522 0.47978672319235777 0.09092543169588323
0.217 erf 1.2707988660449905 0.4796981289121735 0.09132341620753923
0.218 erf 1.2701264791766942 0.4796095793519455 0.09172119275845965
0.219 erf 1.2694541844205975 0.47952107449332254 0.0921187614110264
0.22 erf 1.268781981745659 0.4794326143179545 0.0925161222276989
0.221 erf 1.2681098711208325 0.4793441988074923 0.09291327527101365
0.222 erf 1.2674378525150658 0.4792558279435882 0.09331022060358428
0.223 erf 1.2667659258973025 0.4791675017078952 0.09370695828810131
0.224 erf 1.2660940912364798 0.4790792200820677 0.09410348838733207
0.225 erf 1.2654223485015308 0.47899098304776117 0.09449981096412051
0.226 erf 1.2647506976613825 0.4789027905866321 0.09489592608138694
0.227 erf 1.2640791386849577 0.4788146426803381 0.09529183380212815
0.228 erf 1.2634076715411735 0.47872653931053777 0.09568753418941695
0.229 erf 1.262736296198942 0.47863848045889107 0.09608302730640227
0.23 erf 1.2620650126271702 0.47855046610705876 0.0964783132163089
0.231 erf 1.2613938207947604 0.4784624962367027 0.0968733919824373
0.232 erf 1.2607227206706093 0.47837457082948587 0.09726826366816356
0.233 erf 1.2600517122236095 0.4782866898670724 0.09766292833693914
0.234 erf 1.2593807954226475 0.4781988533311275 0.09805738605229081
0.235 erf 1.2587099702366062 0.47811106120331703 0.09845163687782034
0.236 erf 1.2580392366343625 0.47802331346530846 0.0988456808772048
0.237 erf 1.2573685945847886 0.4779356100987699 0.09923951811419571
0.238 erf 1.2566980440567526 0.47784795108537076 0.09963314865261942
0.239 erf 1.2560275850191167 0.4777603364067813 0.10002657255637684
0.24 erf 1.2553572174407397 0.47767276604467274 0.10041978988944322
0.241 erf 1.254686941290474 0.4775852399807176 0.10081280071586798
0.242 erf 1.2540167565371683 0.47749775819658935 0.10120560509977469
0.243 erf 1.2533466631496661 0.4774103206739623 0.10159820310536083
0.244 erf 1.2526766610968068 0.4773229273945118 0.10199059479689758
0.245 erf 1.2520067503474244 0.4772355783399145 0.1023827802387299
0.246 erf 1.2513369308703486 0.4771482734918477 0.10277475949527609
0.247 erf 1.2506672026344046 0.4770610128319899 0.10316653263102775
0.248 erf 1.2499975656084128 0.4769737963420205 0.10355809971054976
0.249 erf 1.2493280197611891 0.47688662400362 0.10394946079848001
0.25 erf 1.2486585650615445 0.4767994957984697 0.1043406159595292
0.251 erf 1.2479892014782865 0.47671241170825224 0.1047315652584808
0.252 erf 1.2473199289802168 0.4766253717146508 0.10512230876019085
0.253 erf 1.2466507475361337 0.4765383757993499 0.1055128465295878
0.254 erf 1.2459816571148303 0.4764514239440349 0.10590317863167241
0.255 erf 1.2453126576850957 0.47636451613039194 0.10629330513151751
0.256 erf 1.2446437492157143 0.4762776523401085 0.10668322609426796
0.257 erf 1.2439749316754665 0.47619083255487277 0.10707294158514041
0.258 erf 1.243306205033128 0.47610405675637407 0.10746245166942314
0.259 erf 1.2426375692574707 0.4760173249263024 0.10785175641247607
0.26 erf 1.2419690243172616 0.47593063704634897 0.10824085587973044
0.261 erf 1.2413005701812634 0.4758439930982059 0.10862975013668859
0.262 erf 1.2406322068182352 0.4757573930635662 0.10901843924892418
0.263 erf 1.239963934196931 0.47567083692412393 0.10940692328208161
0.264 erf 1.239295752286102 0.47558432466157385 0.10979520230187607
0.265 erf 1.2386276610544935 0.47549785625761193 0.11018327637409345
0.266 erf 1.2379596604708478 0.47541143169393507 0.11057114556459002
0.267 erf 1.2372917505039027 0.47532505095224087 0.11095880993929254
0.268 erf 1.2366239311223923 0.47523871401422796 0.11134626956419769
0.269 erf 1.2359562022950459 0.47515242086159604 0.11173352450537233
0.27 erf 1.235288563986351 0.47506637020058384 0.1121196830477398
0.271 erf 1.2346210161734212 0.47498016847081725 0.1125065113065344
0.272 erf 1.2339535588209134 0.47489400636787477 0.11289315349551714
0.273 erf 1.23328619189745 0.4748078878910345 0.11327959165204284
0.274 erf 1.2326189153717393 0.4747218131065394 0.1136658254631637
0.275 erf 1.2319517292124864 0.4746357819978715 0.11405185498738994
0.276 erf 1.2312846333883938 0.47454979454677415 0.11443768029110668
0.277 erf 1.2306176278681589 0.47446385073495495 0.11482330144093185
0.278 erf 1.2299507126204765 0.4743779505441219 0.1152087185035555
0.279 erf 1.2292838876140366 0.4742920939559836 0.11559393154573619
0.28 erf 1.2286171528175258 0.4742062809522498 0.11597894063430098
0.281 erf 1.2279505081996267 0.47412051151463097 0.11636374583614505
0.282 erf 1.2272839537290186 0.4740347856248386 0.11674834721823164
0.283 erf 1.2266174893743766 0.4739491032645849 0.11713274484759201
0.284 erf 1.2259511151043725 0.4738634644155832 0.11751693879132517
0.285 erf 1.225284830887674 0.47377786905954766 0.11790092911659766
0.286 erf 1.2246186366929452 0.4736923171781932 0.11828471589064364
0.287 erf 1.2239525324888474 0.4736068087532358 0.11866829918076442
0.288 erf 1.2232865182440371 0.4735213437663922 0.11905167905432862
0.289 erf 1.2226205939271677 0.47343592219938 0.1194348555787718
0.29 erf 1.2219547595068894 0.4733505440339179 0.11981782882159642
0.291 erf 1.2212890149518487 0.4732652092517252 0.12020059885037171
0.292 erf 1.220623360230688 0.4731799178345224 0.12058316573273338
0.293 erf 1.219957795312047 0.4730946697640305 0.1209655295363836
0.294 erf 1.2192923201645616 0.4730094650219716 0.12134769032909086
0.295 erf 1.2186269347568643 0.47292430359006876 0.12172964817868971
0.296 erf 1.2179616390575843 0.4728391854500457 0.12211140315308064
0.297 erf 1.2172964330353473 0.4727541105836272 0.12249295532023009
