#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.073 erf 1.390449846207917 0.25221320995188284 0.019692448802744397
0.074 erf 1.3900609556767827 0.2521874833753218 0.019959180200637673
0.075 erf 1.3896721018609093 0.25216176245558414 0.020225829021181245
0.076 erf 1.3892832847531043 0.2521360471790953 0.02049239538415095
0.077 erf 1.388894504346196 0.2521103375323055 0.02075887940908431
0.078 erf 1.388505760633029 0.2520846335016888 0.021025281215281376
0.079 erf 1.3881170536064689 0.2520589350737443 0.021291600921805143
0.08 erf 1.387728383259398 0.25203324223499424 0.02155783864748232
0.081 erf 1.3873397495847182 0.2520075549719856 0.021823994510903902
0.082 erf 1.38695115257535 0.2519818732712894 0.02209006863042566
0.083 erf 1.3865625922237335 0.2519562066704526 0.022355962185422046
0.084 erf 1.3861740685238055 0.2519305363867868 0.022621869735189246
